Title,Original Title,Original Language,TMDB ID,IMDB ID,Runtime,Genre(s),Release Date,Revenue,Budget,Status,Tagline,Overview,Production Companies,Production Countries,Spoken Language(s),Collection Title,Collection Name,Collection Release Date,Is Video,Is Adult
Kill Bill: Vol. 1,Kill Bill: Vol. 1,en,24,tt0266697,111,"[""Action"",""Crime""]",2003-10-10,180906076,30000000,Released,A roaring rampage of revenge.,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.","[{""name"":""Miramax"",""originCountry"":""US""},{""name"":""A Band Apart"",""originCountry"":""US""},{""name"":""Super Cool ManChu"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""日本語"",""iso31661"":""ja""},{""name"":""Français"",""iso31661"":""fr""}]",Kill Bill Collection,Kill Bill Collection,,false,false
King Kong,King Kong,en,254,tt0360717,187,"[""Adventure"",""Drama"",""Action""]",2005-12-12,562363449,207000000,Released,The eighth wonder of the world.,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","[{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""WingNut Films"",""originCountry"":""NZ""},{""name"":""Big Primate Pictures"",""originCountry"":""""},{""name"":""MFPV Film"",""originCountry"":""DE""}]","[{""name"":""New Zealand"",""iso31661"":""NZ""},{""name"":""United States of America"",""iso31661"":""US""},{""name"":""Germany"",""iso31661"":""DE""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Labyrinth,Labyrinth,en,13597,tt0091369,102,"[""Adventure"",""Family"",""Fantasy""]",1986-06-27,12729917,25000000,Released,Where everything seems possible and nothing is what it seems.,"When teen Sarah is forced to babysit her half-brother Toby, she summons Jareth the Goblin King to take him away. When he is actually kidnapped, Sarah is given just thirteen hours to solve a labyrinth and rescue him.","[{""name"":""TriStar Pictures"",""originCountry"":""US""},{""name"":""Delphi V"",""originCountry"":""US""},{""name"":""Henson Associates"",""originCountry"":""US""},{""name"":""Lucasfilm Ltd."",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Last Action Hero,Last Action Hero,en,9593,tt0107362,131,"[""Adventure"",""Fantasy"",""Action"",""Comedy"",""Family""]",1993-06-18,137300000,85000000,Released,This isn't the movies anymore.,"Following the death of his father, young Danny Madigan takes comfort in watching action movies featuring the indestructible Los Angeles cop Jack Slater. After being given a magic ticket by theater manager Nick, Danny is sucked into the screen and bonds with Slater. When evil fictional villain Benedict gets his hands on the ticket and enters the real world, Danny and Jack must follow and stop him.","[{""name"":""Oak Productions"",""originCountry"":""US""},{""name"":""Columbia Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Licence to Kill,Licence to Kill,en,709,tt0097742,133,"[""Adventure"",""Action"",""Thriller""]",1989-06-13,156167015,32000000,Released,James Bond is out on his own and out for revenge.,"After capturing the notorious drug lord Franz Sanchez, Bond's close friend and former CIA agent Felix Leiter is left for dead and his wife is murdered. Bond goes rogue and seeks vengeance on those responsible, as he infiltrates Sanchez's organization from the inside.","[{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""United Artists"",""originCountry"":""US""},{""name"":""Danjaq"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",James Bond Collection,James Bond Collection,,false,false
Live and Let Die,Live and Let Die,en,253,tt0070328,121,"[""Adventure"",""Action"",""Thriller""]",1973-06-27,126377836,7000000,Released,Bond is back. Back in action. Back with excitement.,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,"[{""name"":""EON Productions"",""originCountry"":""GB""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Magyar"",""iso31661"":""hu""}]",James Bond Collection,James Bond Collection,,false,false
Mad Max,Mad Max,en,9659,tt0079501,91,"[""Adventure"",""Action"",""Thriller"",""Science Fiction""]",1979-04-12,100000000,350000,Released,The maximum force of the future.,"In the ravaged near-future, a savage motorcycle gang rules the road. Terrorizing innocent civilians while tearing up the streets, the ruthless gang laughs in the face of a police force hell-bent on stopping them.","[{""name"":""Kennedy Miller Productions"",""originCountry"":""AU""}]","[{""name"":""Australia"",""iso31661"":""AU""}]","[{""name"":""English"",""iso31661"":""en""}]",Mad Max Collection,Mad Max Collection,,false,false
Mad Max: Fury Road,Mad Max: Fury Road,en,76341,tt1392190,121,"[""Action"",""Adventure"",""Science Fiction""]",2015-05-13,378858340,150000000,Released,The future belongs to the mad.,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.","[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Village Roadshow Pictures"",""originCountry"":""US""},{""name"":""Kennedy Miller Mitchell"",""originCountry"":""AU""}]","[{""name"":""Australia"",""iso31661"":""AU""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Mad Max Collection,Mad Max Collection,,false,false
Man of Steel,Man of Steel,en,49521,tt0770828,143,"[""Action"",""Adventure"",""Science Fiction""]",2013-06-12,668045518,225000000,Released,You will believe that a man can fly.,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","[{""name"":""DC Entertainment"",""originCountry"":""US""},{""name"":""Syncopy"",""originCountry"":""GB""},{""name"":""Peters Entertainment"",""originCountry"":""US""},{""name"":""Warner Bros. Pictures"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Man of Steel Collection,Man of Steel Collection,,false,false
Mean Girls,Mean Girls,en,10625,tt0377092,97,"[""Drama"",""Comedy""]",2004-04-30,130100000,17000000,Released,Watch your back.,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","[{""name"":""Broadway Video"",""originCountry"":""US""},{""name"":""Paramount"",""originCountry"":""US""},{""name"":""M.G. Films"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""Kiswahili"",""iso31661"":""sw""},{""name"":""English"",""iso31661"":""en""},{""name"":""Deutsch"",""iso31661"":""de""},{""name"":""Tiếng Việt"",""iso31661"":""vi""}]",Mean Girls Collection,Mean Girls Collection,,false,false
Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,en,9070,tt0113820,96,"[""Action"",""Adventure"",""Science Fiction"",""Fantasy""]",1995-06-30,66400000,15000000,Released,"Each has a power. Each has a purpose. And together, they will face their fiercest enemy.","Six incredible teens out-maneuver and defeat evil everywhere as the Mighty Morphin Power Rangers, but this time the Power Rangers may have met their match when they face off with Ivan Ooze, the most sinister monster the galaxy has ever seen.","[{""name"":""Saban Entertainment"",""originCountry"":""US""},{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Toei Company"",""originCountry"":""JP""},{""name"":""Fox Family Films"",""originCountry"":""""}]","[{""name"":""Japan"",""iso31661"":""JP""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Power Rangers Collection,Power Rangers Collection,,false,false
The Millionaires' Express,富貴列車,cn,59843,tt0091091,94,"[""Action"",""Comedy""]",1986-01-30,0,0,Released,,"What happens when a glamorous express, with high government officials, wealthy merchants, concubines and a gang of brigands on board, speeds towards the small town of Hanshui, where escaping bank robbers, corrupt officials, and gamblers await? Well, let's just say the Titanic had a smoother maiden voyage.","[{""name"":""Paragon Films Ltd."",""originCountry"":""HK""},{""name"":""Bo Ho Films"",""originCountry"":""HK""},{""name"":""Orange Sky Golden Harvest"",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""日本語"",""iso31661"":""ja""}]",,,,false,false
Mission: Impossible,Mission: Impossible,en,954,tt0117060,110,"[""Adventure"",""Action"",""Thriller""]",1996-05-22,457700000,80000000,Released,Expect the impossible.,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.","[{""name"":""Paramount"",""originCountry"":""US""},{""name"":""Cruise/Wagner Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""},{""name"":""Český"",""iso31661"":""cs""}]",Mission: Impossible Collection,Mission: Impossible Collection,,false,false
Moonraker,Moonraker,en,698,tt0079574,126,"[""Action"",""Adventure"",""Thriller"",""Science Fiction""]",1979-06-26,210308099,34000000,Released,Where all the other Bonds end… this one begins!,"After Drax Industries' Moonraker space shuttle is hijacked, secret agent James Bond is assigned to investigate, traveling to California to meet the company's owner, the mysterious Hugo Drax. With the help of scientist Dr. Holly Goodhead, Bond soon uncovers Drax's nefarious plans for humanity, all the while fending off an old nemesis, Jaws, and venturing to Venice, Rio, the Amazon...and even outer space.","[{""name"":""United Artists"",""originCountry"":""US""},{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""Danjaq"",""originCountry"":""US""},{""name"":""Les Productions Artistes Associés"",""originCountry"":""FR""}]","[{""name"":""France"",""iso31661"":""FR""},{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Italiano"",""iso31661"":""it""}]",James Bond Collection,James Bond Collection,,false,false
Mortal Kombat,Mortal Kombat,en,9312,tt0113855,101,"[""Action"",""Fantasy""]",1995-08-18,122195920,18000000,Released,Nothing in this world has prepared you for this.,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","[{""name"":""New Line Cinema"",""originCountry"":""US""},{""name"":""Threshold Entertainment"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""Français"",""iso31661"":""fr""},{""name"":""English"",""iso31661"":""en""},{""name"":""Italiano"",""iso31661"":""it""}]",Mortal Kombat Collection,Mortal Kombat Collection,,false,false
Mortal Kombat,Mortal Kombat,en,460465,tt0293429,110,"[""Action"",""Fantasy"",""Adventure""]",2021-04-07,84426031,20000000,Released,Get over here!,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.","[{""name"":""Atomic Monster"",""originCountry"":""US""},{""name"":""Broken Road Productions"",""originCountry"":""US""},{""name"":""New Line Cinema"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""日本語"",""iso31661"":""ja""},{""name"":""English"",""iso31661"":""en""},{""name"":""普通话"",""iso31661"":""zh""}]",Mortal Kombat (Reboot) Collection,Mortal Kombat (Reboot) Collection,,false,false
